8-QAM,,32-QAM,,128-QAM,,OFDM,,LTE
1.22474487139159 - 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,-0.773020682523926 - 0.993883734673619i,,-0.773020682523926 - 0.993883734673619i,,-0.0227232682938660 + 0.0258335168130960i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,-0.773020682523926 - 0.552157630374233i,,-0.773020682523926 - 0.552157630374233i,,-0.0194529249087370 - 0.0121231728678195i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,1.21474678682331 - 0.110431526074847i,,1.21474678682331 - 0.110431526074847i,,0.0128642672165898 - 0.00221777822416349i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.993883734673619 + 0.110431526074847i,,-0.993883734673619 + 0.110431526074847i,,0.00947980732883384 - 0.000851714289104194i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.773020682523926 + 0.331294578224540i,,0.773020682523926 + 0.331294578224540i,,-0.0396036825815445 + 0.00974998525029402i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,1.21474678682331 + 0.773020682523926i,,1.21474678682331 + 0.773020682523926i,,-0.0361099122113678 + 0.0402830788705410i
1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.110431526074847 + 0.773020682523926i,,0.110431526074847 + 0.773020682523926i,,0.00929906728698627 + 0.0236731749833022i
1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,-0.331294578224540 - 0.331294578224540i,,-0.331294578224540 - 0.331294578224540i,,0.00554213230000948 + 0.0144329309446266i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,1.21474678682331 - 0.331294578224540i,,1.21474678682331 - 0.331294578224540i,,-0.0162343571465686 + 0.0189444445146710i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,0.331294578224540 - 0.331294578224540i,,0.331294578224540 - 0.331294578224540i,,-0.0115497721827631 - 0.0491395349001288i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-0.552157630374233 - 0.552157630374233i,,-0.552157630374233 - 0.552157630374233i,,-0.0194020136123678 - 0.0761875395700688i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.993883734673619 + 0.110431526074847i,,0.993883734673619 + 0.110431526074847i,,-0.0378506070334331 + 0.0151732829032069i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-0.993883734673619 - 0.552157630374233i,,-0.993883734673619 - 0.552157630374233i,,-0.0331081689650604 + 0.0520224263195250i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,0.993883734673619 + 0.110431526074847i,,0.993883734673619 + 0.110431526074847i,,-0.0168628874538382 + 0.00700955396565223i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,-0.331294578224540 - 0.331294578224540i,,-0.331294578224540 - 0.331294578224540i,,-0.00231236581126002 + 0.0116064882958181i
1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,0.331294578224540 - 0.110431526074847i,,0.331294578224540 - 0.110431526074847i,,0.00574137716405413 + 0.0230090050724665i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,1.21474678682331 - 0.110431526074847i,,1.21474678682331 - 0.110431526074847i,,-0.00174066105220359 - 0.00896558984690214i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,1.21474678682331 + 0.773020682523926i,,1.21474678682331 + 0.773020682523926i,,-0.00840920736327839 - 0.00417565731567309i
